id,gene_name,gene_id_ensembl101,gene_type,entrez_id
ENSG00000249514,TMEM251P1,ENSG00000249514,processed_pseudogene,100420909
ENSG00000272374,Z97832.2,ENSG00000272374,lncRNA,
ENSG00000159479,MED8,ENSG00000159479,protein_coding,112950
ENSG00000112511,PHF1,ENSG00000112511,protein_coding,5252
ENSG00000196381,ZNF781,ENSG00000196381,protein_coding,163115
ENSG00000211950,IGHV1-24,ENSG00000211950,IG_V_gene,28467
ENSG00000202534,RNU6-1329P,ENSG00000202534,snRNA,106481600
ENSG00000231062,AC103563.2,ENSG00000231062,lncRNA,
ENSG00000154511,DIPK1A,ENSG00000154511,protein_coding,388650
ENSG00000253946,AC008489.1,ENSG00000253946,processed_pseudogene,
ENSG00000144504,ANKMY1,ENSG00000144504,protein_coding,51281
ENSG00000142507,PSMB6,ENSG00000142507,protein_coding,5694
ENSG00000259677,AC027176.2,ENSG00000259677,processed_pseudogene,
ENSG00000164116,GUCY1A1,ENSG00000164116,protein_coding,2982
ENSG00000273305,AC009237.15,ENSG00000273305,lncRNA,
ENSG00000138669,PRKG2,ENSG00000138669,protein_coding,5593
ENSG00000250927,MESTP3,ENSG00000250927,processed_pseudogene,645641
ENSG00000174013,FBXO45,ENSG00000174013,protein_coding,200933
ENSG00000235110,AC107421.1,ENSG00000235110,processed_pseudogene,
ENSG00000277670,AC098657.3,ENSG00000277670,unprocessed_pseudogene,
ENSG00000227863,AC002383.1,ENSG00000227863,lncRNA,
ENSG00000196704,AMZ2,ENSG00000196704,protein_coding,51321
ENSG00000251332,AC021106.2,ENSG00000251332,processed_pseudogene,
ENSG00000259235,AC066612.1,ENSG00000259235,lncRNA,
ENSG00000258507,AC116612.1,ENSG00000258507,lncRNA,
ENSG00000178821,TMEM52,ENSG00000178821,protein_coding,339456
ENSG00000244019,RPS2P24,ENSG00000244019,processed_pseudogene,100270912
ENSG00000222054,RNA5SP177,ENSG00000222054,rRNA_pseudogene,100873439
ENSG00000106069,CHN2,ENSG00000106069,protein_coding,1124
ENSG00000243911,RN7SL430P,ENSG00000243911,misc_RNA,106481040
ENSG00000232301,LNCPRESS1,ENSG00000232301,lncRNA,101927721
ENSG00000267871,ZNF460-AS1,ENSG00000267871,lncRNA,105372476
ENSG00000227851,AC021035.1,ENSG00000227851,lncRNA,
ENSG00000225715,AL512504.1,ENSG00000225715,processed_pseudogene,
ENSG00000271934,OR2AS2P,ENSG00000271934,unprocessed_pseudogene,403236
ENSG00000271919,AC005828.7,ENSG00000271919,transcribed_processed_pseudogene,
ENSG00000176928,GCNT4,ENSG00000176928,protein_coding,51301
ENSG00000233714,AC012506.3,ENSG00000233714,lncRNA,
ENSG00000129455,KLK8,ENSG00000129455,protein_coding,11202
ENSG00000253049,AC024060.1,ENSG00000253049,snoRNA,
ENSG00000240250,RN7SL541P,ENSG00000240250,misc_RNA,106481069
ENSG00000277889,MIR8081,ENSG00000277889,miRNA,102465995
ENSG00000216902,AL122016.1,ENSG00000216902,processed_pseudogene,
ENSG00000265875,,,,
ENSG00000237666,AC097527.1,ENSG00000237666,unprocessed_pseudogene,
ENSG00000161896,IP6K3,ENSG00000161896,protein_coding,117283
ENSG00000254672,AL136146.1,ENSG00000254672,processed_pseudogene,
ENSG00000143033,MTF2,ENSG00000143033,protein_coding,22823
ENSG00000256150,ITFG2-AS1,ENSG00000256150,lncRNA,283440
ENSG00000106410,NOBOX,ENSG00000106410,protein_coding,135935
ENSG00000259956,RBM15B,ENSG00000259956,protein_coding,29890
ENSG00000150773,PIH1D2,ENSG00000150773,protein_coding,120379
ENSG00000227958,AL390778.1,ENSG00000227958,lncRNA,
ENSG00000267083,KRT18P61,ENSG00000267083,processed_pseudogene,100418865
ENSG00000274335,,,,
ENSG00000259847,LINC02126,ENSG00000259847,lncRNA,101927650
ENSG00000226668,AL136981.1,ENSG00000226668,transcribed_unprocessed_pseudogene,
ENSG00000268140,PCGF7P,ENSG00000268140,processed_pseudogene,253272
ENSG00000278987,AL031009.1,ENSG00000278987,TEC,
ENSG00000250006,AC008638.2,ENSG00000250006,processed_pseudogene,
ENSG00000236313,VN1R53P,ENSG00000236313,processed_pseudogene,100312806
ENSG00000273085,OR52E1,ENSG00000273085,polymorphic_pseudogene,79296
ENSG00000260729,AC009690.1,ENSG00000260729,protein_coding,
ENSG00000205362,MT1A,ENSG00000205362,protein_coding,4489
ENSG00000245667,AC006064.1,ENSG00000245667,lncRNA,
ENSG00000203818,,,,
ENSG00000258517,AC004817.1,ENSG00000258517,lncRNA,
ENSG00000254768,AC104009.1,ENSG00000254768,lncRNA,
ENSG00000202050,RNU6-391P,ENSG00000202050,snRNA,106479739
